STORE_CD|PLU_CD|SCAN_CD1|SCAN_CD2|PLU_NM|BRAND_CD|GPLU_CDNRL_PRC|PRC_EVT_PRC|PRC_EVT_ST_DT|PRC_EVT_ED_DT
780|8801048002542|8801048002542|8801048002542|마르께스 데 리스칼 비냐 코야다(2016)|130219|12000|0||
780|8801048002559|8801048002559|8801048002559|마르께스 데 리스칼 레세르바0g|130219|22000|0||
780|8801048002566|8801048002566|8801048002566|마르께스 데 리스칼 루에다|138392|9500|0||
780|8801048002573|8801048002573|8801048002573|리스칼 1860 템프라니요0g|138392|9000|0||
780|8801048002580|8801048002580|8801048002580|골든버블0g|130219|9000|0||
780|8801048003440|8801048003440|8801048003440|제라르 베르트랑 떼루아르 미네르부아|138392|26000|0||
780|8801048003457|8801048003457|8801048003457|제라르 베르트랑 시갈뤼스 루즈|138392|90000|0||
780|8801048096008|8801048096008|8801048096008|일품진로 1924(375ml)병0g|138392|13000|0||
780|8801048098002|8801048098002|8801048098002|진로 1924 헤리티지(700ml/병)|138392|110000|0||
780|8801048098026|8801048098026|8801048098026|일품진로 1924 헤리티지 100주년 에디|138392|119000|0||
780|8801119381019|8801119381019|8801119381019|켈리 (500ml/캔)|138392|2250|0||
780|8802196005454|8802196005454|8802196005454|샤또 마고(2014) 13.0%750-本|138392|1600000|0||
780|8802196005461|8802196005461|8802196005461|샤또 라뚜르|138392|2000000|0||
780|8802196005546|8802196005546|8802196005546|에썽스|130219|306000|0||
780|8802196005553|8802196005553|8802196005553|마르께스 데 리스칼 A 아리엔조 크리안|130219|21000|19000|20241011|20241031
780|8802196005645|8802196005645|8802196005645|메디치 에르메테 페르멘토 (내추럴 와|138392|50000|0||
780|8802196005652|8802196005652|8802196005652|비벨로 로쏘 스위트|130219|12000|0||
780|8802196005669|8802196005669|8802196005669|샤또 까멍삭 그랑크뤼클라쎄 오-메독|138392|90000|0||
780|8802196006079|8802196006079|8802196006079|오비드 나파밸리 2017 HJ|130219|738000|0||
780|8802196006086|8802196006086|8802196006086|오비드 익스페리먼트 화이트|130219|369000|0||
780|8802196006093|8802196006093|8802196006093|오비드 익스페리먼트 레드|130219|369000|0||
780|8802196006789|8802196006789|8802196006789|까르떼 루즈|130219|29000|0||
780|8802196007052|8802196007052|8802196007052|샤또 무똥 로칠드(2014) 13.0%750-本|138392|1700000|0||
780|8802196007113|8802196007113|8802196007113|샤또 딸보 2017|138392|200000|0||
780|8802196007168|8802196007168|8802196007168|두게싸 리아 아스티 세코|130219|18000|0||
780|8802196007182|8802196007182|8802196007182|제라르 베르트랑 에레지|138392|30000|0||
780|8802196007502|8802196007502|8802196007502|타임리스 나파 밸리|130219|403000|0||
780|8802196007519|8802196007519|8802196007519|입수스|138392|750000|0||
780|8802196007533|8802196007533|8802196007533|앙리 흐북소 제브리 샹베르땅(2017) 13|138392|170000|0||
780|8802196007854|8802196007854|8802196007854|스털링 플래티넘 나파밸리 카베르네 소|130219|174000|0||
780|8802196008097|8802196008097|8802196008097|샤또 무똥 로칠드 2017|138392|1800000|0||
780|8802196008226|8802196008226|8802196008226|투미 모뉴먼트 트리 빈야드 피노 누아|130219|300000|0||
780|8802196008325|8802196008325|8802196008325|세드루 두 노발 레드|130219|80000|0||
780|8802196008356|8802196008356|8802196008356|노발 파인 루비 포트|130219|29000|0||
780|8802196008462|8802196008462|8802196008462|제프 까렐 발라데정쥬 로제|138392|15000|0||
780|8802196008615|8802196008615|8802196008615|킹스그로브 나파 밸리 까베르네 소비뇽|130219|43000|0||
780|8802196008646|8802196008646|8802196008646|알렉스 감발 사비니 레 본|130219|178000|0||
780|8802196008691|8802196008691|8802196008691|제라르 베르트랑 꼬뜨 로즈 로제|138392|30000|0||
780|8802196008745|8802196008745|8802196008745|팀 아담스 셰이퍼 쉬라즈|138392|53000|0||
780|8802196008776|8802196008776|8802196008776|팀 아담스 리슬링|138392|30000|0||
780|8802196008783|8802196008783|8802196008783|미스터 믹 쉬라즈(2018)|130219|13000|0||
780|8802196008790|8802196008790|8802196008790|미스터 믹 리슬링(2022)|130219|13000|0||
780|8802196008837|8802196008837|8802196008837|제라르 베르트랑 햄튼 워터|138392|50000|0||
780|8802196008936|8802196008936|8802196008936|벨구아르도 로제|138392|22000|0||
780|8802196009322|8802196009322|8802196009322|멜카 메티스 마티네즈 빈야드 나파 밸|130219|559000|0||
780|8802196009490|8802196009490|8802196009490|단테 까베르네 소비뇽|130219|55000|0||
780|8802196009506|8802196009506|8802196009506|단테 피노 누아|130219|55000|0||
780|8802196009513|8802196009513|8802196009513|단테 샤르도네|130219|55000|0||
780|8802196009551|8802196009551|8802196009551|치아치 피콜로미니 아테오|138392|43000|35000|20241011|20241031
780|8802196009568|8802196009568|8802196009568|치아치 피콜로미니 파비우스|138392|50000|39000|20241011|20241031
780|8802196009575|8802196009575|8802196009575|치아치 피콜로미니 로쏘 디 몬탈치노|138392|63000|52000|20241011|20241031
780|8802196009605|8802196009605|8802196009605|치아치 피콜로미니 부르넬로 디 몬탈치|138392|430000|348000|20241011|20241031
780|8802196009629|8802196009629|8802196009629|잉글눅 까베르네 소비뇽|138392|220000|0||
